search_id,click_datetime,click_cause,click_rank,document_source,document_title,document_author,document_id
1c6170b8-59ed-454d-8ef7-ff67291d8ea3,2017-04-15 07:19:02.075,documentOpen,9,Confluence - Developers,Step 7 - Usage Analytics,author_244,IMChu2SOD7/r2BFx
5721e69d-31eb-45e9-a36a-8ae926e7903e,2017-04-15 07:20:58.573,documentOpen,1,Web - JsSearchRef,AnalyticsEvents | Coveo JavaScript Search Framework - Reference Documentation,,SeJgsCaSwYxIfX4Y
abb96f78-7276-41dc-bda3-17e946f0ceab,2017-04-15 12:31:43.835,documentOpen,1,Web Scraper - AnswersCloud,"Javascript queryBuilder expressions, filtering by date",author_398,YcJCUkw8i4YuZbLa
cbe6abce-0d0d-4515-9a86-38e43bf79cc8,2017-04-15 15:33:05.048,documentOpen,9,Confluence - Developers,Query Results,author_244,VopPSjepA1DCjPxu
cbe6abce-0d0d-4515-9a86-38e43bf79cc8,2017-04-15 15:33:28.434,documentOpen,5,Confluence - Developers,Group By Parameters,author_72,RrUlq8yER48sMhU0
3241efb8-0cef-4958-ab69-393d324e6db1,2017-04-15 21:02:57.73,documentOpen,4,Confluence - Developers,Coveo Cloud API Automatically Generated Documentation Sites,author_56,gOWjjzhr+5XWKf+9
3241efb8-0cef-4958-ab69-393d324e6db1,2017-04-15 21:03:03.942,documentOpen,5,Confluence - Developers,Extension API Reference,author_395,/CY6YdWu3D0QwPKE
347ff1ff-13a0-4a87-8296-192d9bed639a,2017-04-15 21:04:37.239,documentOpen,1,Confluence - Developers,Adding Custom Parameters with the Additional Parameters Field,author_389,7XEuv+qNCEo2EyJe
ec6502bc-a11f-47fb-8d35-eff0722440e7,2017-04-16 04:45:00.874,documentOpen,2,Confluence - Developers,Step 7 - Usage Analytics,author_244,IMChu2SOD7/r2BFx
971d8166-6abf-4a26-8d7e-36462bea58dd,2017-04-16 05:11:34.273,documentOpen,7,Confluence - Developers,Coveo Usage Analytics,author_389,b5pdwJW/5cvfOngB
56b14931-105e-4257-b768-77bef6a2f35b,2017-04-16 05:15:00.627,documentOpen,2,Confluence - Developers,Enabling Coveo Cloud-Hosted Analytics,author_56,JOwAJA5oXoWm/BAk
56b14931-105e-4257-b768-77bef6a2f35b,2017-04-16 05:15:29.279,documentOpen,4,Confluence - Developers,Sending Custom Analytics Events,author_244,QfLr2Wwt55mSf4+w
56b14931-105e-4257-b768-77bef6a2f35b,2017-04-16 05:15:31.539,documentOpen,6,Confluence - Developers,Leveraging Sitecore Analytics in Coveo for Sitecore,author_389,LRErGdvrN++c1n0N
56b14931-105e-4257-b768-77bef6a2f35b,2017-04-16 05:15:35.072,documentOpen,7,Confluence - Developers,Understanding the Analytics Pipelines,author_396,+gIdmwkoDTF+NuNS
490c6c5f-dbc8-4698-87a8-d001b02910d0,2017-04-16 05:26:36.923,documentOpen,1,Confluence - Developers,Recording Custom Events with Sitecore Analytics,author_278,dhxUztwQ2zEhRi8T
50e8b471-f554-4bc6-abc9-dbd1e51f9229,2017-04-16 05:26:58.031,documentOpen,3,Confluence - Developers,Using Analytics,author_389,erQAO8MEKLmc8Uic
b36414c5-e671-40e6-bb2f-4374c4448afd,2017-04-16 05:29:13.603,documentOpen,1,Confluence - Developers,Sending Custom Analytics Events,author_244,QfLr2Wwt55mSf4+w
b36414c5-e671-40e6-bb2f-4374c4448afd,2017-04-16 05:29:27.254,documentOpen,5,Confluence - Developers,Adding Custom Context Information to Queries,author_56,doROhc+c6vWETKC+
197a93eb-84a9-440f-9038-de2cfb8109c4,2017-04-16 12:13:45.876,documentOpen,1,Confluence - Developers,Coveo for Sitecore Scaling Guide,author_396,aBtg0qhgVOsKsLDP
197a93eb-84a9-440f-9038-de2cfb8109c4,2017-04-16 12:14:12.061,documentOpen,9,Confluence - Developers,Adding Processors to Indexing and Search Pipelines,author_512,vNZQqu4Y1+IX+Nk9
e0e3a1fb-c692-485e-845c-88554169c593,2017-04-16 12:15:09.309,documentOpen,1,Web Scraper - AnswersCloud,How can I consume the REST service via JavaScript on a page with no Coveo Controls,author_112,yZ0TON9zUgNtXLQB
79d71992-09a5-4e4b-82ba-e95f8b2af39d,2017-04-16 14:25:46.366,documentOpen,7,ohclouden,Managing Coveo Machine Learning Automatic Relevance Tuning in a Query Pipeline,author_289,F68kKLc0iajXHazO
9cdb9eb2-07fc-4b15-9576-7b54eb749872,2017-04-16 22:57:30.472,documentOpen,1,Confluence - Developers,How to repair Coveo for Salesforce After a Sandbox Refresh,author_540,TA3/Es9dy8wrod4E
d842121c-b416-46bf-8399-9a15b018648f,2017-04-17 03:57:12.984,documentOpen,2,Web Scraper - AnswersCloud,Coveo Search REST Endpoint () The remote server returned an error: (500) Internal Server Error.,author_441,NEt9gvTLj0U3e2e1
51f12260-91fd-4111-a1e3-cc3bb44e094e,2017-04-17 06:16:31.865,documentOpen,4,ohclouden,Fields - Page,author_289,3qIjFQdLvkQbDD2h
509c6047-5630-408e-b43e-341e6c3a246b,2017-04-17 07:15:14.577,documentOpen,7,Web Scraper - AnswersCloud,Sitecore systitle mapping and isFacet sorting,author_516,F1hVVWtfm1Z3Yoc0
f4c9685e-30f1-4c2e-a38c-8590a80ed593,2017-04-17 07:41:32.02,documentOpen,4,Web Scraper - AnswersCloud,Wildcards in REST API,author_235,wbQRETR/ClCg7c51
c705b4c4-38ec-4724-9512-78737ed0094a,2017-04-17 09:19:16.298,documentOpen,1,Confluence - Developers,Understanding the Indexing and Search Pipelines,author_389,NeQbM0g2qtWlMuVv
aca7bcda-615c-453b-957c-3ce0714bddbe,2017-04-17 11:37:06.035,documentOpen,5,Confluence - Developers,Understanding the Coveo Search Provider's Configuration File,author_389,yoipvH6AAPrZeaAc
1d37cc6a-4b2d-48bb-ab49-13f8e46f9357,2017-04-17 11:47:43.384,documentOpen,2,ohclouden,Managing Fields for a Source,author_289,8KY4vNfHWz6/SW8U
48e46254-1eb5-4871-b1c6-24c44102464b,2017-04-17 11:47:58.039,documentOpen,2,Web Scraper - AnswersCloud,External field not present in raw data,author_2,vAjpdkXIQtDWJMsH
20d946f3-a40a-4705-b18f-87ed912ba091,2017-04-17 12:19:06.377,documentOpen,1,ohces70en,Salesforce Connector,author_289,QE1UGCeEoL29bcQY
f4d530e3-19d5-4cfc-8d07-6613e761f5c7,2017-04-17 12:19:44.603,documentOpen,1,ohces70en,Salesforce Connector,author_289,QE1UGCeEoL29bcQY
f4d530e3-19d5-4cfc-8d07-6613e761f5c7,2017-04-17 12:19:48.658,caseAttach,1,ohces70en,Salesforce Connector,author_289,QE1UGCeEoL29bcQY
59d0f468-d8f3-4e63-9e84-120ed03f1ddd,2017-04-17 12:56:52.26,documentOpen,1,ohces70en,Adding or Modifying Source Filters,author_289,KBWo1rGXmicJ+Tv/
e90faa77-ad01-4de2-ad8c-c0766931f488,2017-04-17 12:57:30.224,caseAttach,1,ohces70en,Adding or Modifying Source Filters,author_289,KBWo1rGXmicJ+Tv/
94d5f897-9d20-43a1-97cc-3a5e43cdb71a,2017-04-17 13:01:05.351,documentOpen,1,ohces70en,About Mirror Servers,author_289,oE5uX2ZGiAcp6Mnq
3136ad9a-b920-448c-afb3-d5ffdb7c913d,2017-04-17 13:01:39.879,caseAttach,1,ohces70en,About Mirror Servers,author_289,oE5uX2ZGiAcp6Mnq
3f78b2bd-73a9-49c2-8f29-40f616283486,2017-04-17 13:12:13.408,documentOpen,1,ohces70en,What Are Field Queries and Free Text Queries?,author_289,UyARTAyPLikDVtPl
3f78b2bd-73a9-49c2-8f29-40f616283486,2017-04-17 13:12:18.449,documentOpen,8,ohces70en,Configuring and Indexing a Salesforce Source,author_289,cLgyo0hITFCyOhkf
8c3e83c8-6b23-4354-b923-76de949d66cf,2017-04-17 13:19:24.546,documentOpen,1,ohces70en,Coveo Platform Connectors,author_289,Qzl6qPuTEfg6KJE8
01277410-2a6e-4e68-ae81-461f7468093b,2017-04-17 13:20:13.175,documentOpen,1,ohces70en,Coveo Platform Connectors,author_289,Qzl6qPuTEfg6KJE8
e98dde91-ad8c-4260-8f70-6a344db96793,2017-04-17 13:36:55.073,caseAttach,1,ohces70en,Indexing a Database Using a Configuration File,author_289,JwIPjGpuCKA3PE9h
59936b3a-15f0-4793-8c89-7057c1f31938,2017-04-17 13:48:40.011,documentOpen,3,ohclouden,Adding Trend Cards in Usage Analytics Dashboards,author_289,2fG/WUy3U69VGc6Z
a6eaabb8-ba62-405d-8e78-5cc56db79e97,2017-04-17 14:05:14.30,documentOpen,1,ohces70en,Configuring and Indexing a Web Pages Source,author_289,rikIiY31l592sMjP
96895e76-6e00-4fe2-8776-b40bc9636e03,2017-04-17 14:08:45.317,documentOpen,1,Confluence - Developers,Understanding the Coveo Search Provider's Configuration File,author_389,5CyNjobn3RC5Z0rk
2a1b6d6e-f8e4-4a65-8832-8d247215309f,2017-04-17 14:31:25.819,documentOpen,1,Web Scraper - AnswersCloud,"Coveo for Sitecore, Coveo Search REST remote server error 408",author_77,bkYcufUMa9Dkvf0W
055eb598-2311-413c-87fd-69527895746c,2017-04-17 14:32:11.363,documentOpen,1,Confluence - Developers,ERROR: The Coveo license file does not exist. It should be located at [path to license],author_399,XDLnIdZrgDAgHSGb
9ed5da85-9de2-4733-8868-bcedc875260c,2017-04-17 14:41:14.392,documentOpen,2,Confluence - Developers,Coveo for Salesforce Express Advanced Configuration,author_389,GOLAwhk0o5tjx+w1
e72ae960-9c07-4dec-9c9d-466b541fbbb0,2017-04-17 15:04:47.602,documentOpen,1,Web Scraper - AnswersCloud,WARN The given item URI is invalid (). The current item could not be loaded.,author_190,eoRb8Bq+cqffIbH3
e72ae960-9c07-4dec-9c9d-466b541fbbb0,2017-04-17 15:05:19.615,documentOpen,2,Web Scraper - AnswersCloud,Items inexplicably not indexed,author_48,Z4S6Qh7JipPW7koE
b3b7f2b7-eee0-41cf-96dc-e3061b557164,2017-04-17 15:08:35.917,documentOpen,1,ohclouden,Customizing a Predefined Coveo Insight Box V1,author_289,XAqh4S0VXTK7enYW
8f0a63ca-d8ff-458d-9b06-e33a4b39d8c0,2017-04-17 15:09:11.789,caseAttach,1,ohclouden,Customizing a Predefined Coveo Insight Box V1,author_289,XAqh4S0VXTK7enYW
e72ae960-9c07-4dec-9c9d-466b541fbbb0,2017-04-17 15:13:56.358,documentOpen,1,Web Scraper - AnswersCloud,WARN The given item URI is invalid (). The current item could not be loaded.,author_190,eoRb8Bq+cqffIbH3
3ad3e57a-d697-49ac-83b9-0b1343d75408,2017-04-17 15:33:16.421,documentOpen,1,Confluence - Developers,Supported Sitecore Versions,author_548,RIoRmwfHz4V9lriJ
5f95aa45-f610-4883-903e-81b856fce28b,2017-04-17 15:33:43.043,documentOpen,1,Web Scraper - AnswersCloud,Incremental indexing not working in coveo for sitecore 4.0,author_89,AfFxgLI3u8Z04TW4
84893613-3737-4768-bff8-2c3a51a4ecf2,2017-04-17 16:18:05.737,documentOpen,1,ohclouden,Fine-Tuning Ranking Weights (Legacy),author_289,IUepAKl3qir53LZv
84893613-3737-4768-bff8-2c3a51a4ecf2,2017-04-17 16:18:13.083,documentOpen,2,ohclouden,Managing Query Pipeline Ranking Weights,author_289,avQCnlt1at1p9piY
d228703d-3e05-4981-8882-0bad74ac3f94,2017-04-17 16:21:43.944,documentOpen,2,ohces70en,Understanding Search Results Ranking,author_289,i9IUkz5pevH5PTH2
93754b73-9ea6-4ffc-a354-c63ede128356,2017-04-17 16:28:10.156,documentQuickview,5,Confluence - Developers,Result Layouts,author_244,lu3OC/PPgMC7fYA3
93754b73-9ea6-4ffc-a354-c63ede128356,2017-04-17 16:39:15.563,documentOpen,2,Confluence - Developers,Understanding Profiles and Pattern Cards,author_389,R3Mse9mT/sGozLfG
93754b73-9ea6-4ffc-a354-c63ede128356,2017-04-17 16:39:30.707,documentOpen,2,Confluence - Developers,Understanding Profiles and Pattern Cards,author_389,R3Mse9mT/sGozLfG
93754b73-9ea6-4ffc-a354-c63ede128356,2017-04-17 16:39:39.896,documentOpen,5,Confluence - Developers,Result Layouts,author_244,lu3OC/PPgMC7fYA3
48dd09dd-b2ea-4e09-8f5d-58d8d9cfb5ca,2017-04-17 16:41:01.46,documentOpen,1,Confluence - Developers,Root Element of a Crawler for a Coveo Index is Invalid,author_389,l/RYBMz1XL4hCKhX
83ec790c-ff95-4fa2-926c-fa466853453e,2017-04-17 16:47:47.406,documentOpen,1,Confluence - Developers,Query Parameters,author_244,7+w3Rf7NV0/vqijL
0a284aac-203b-471e-8b17-d2740848826d,2017-04-17 16:56:04.382,documentOpen,1,Web Scraper - AnswersCloud,Returning array from a computed field,author_17,CcofTf7wJePEacty
52a4e5c5-b4ba-4521-a2b4-2b57d9f2b226,2017-04-17 16:56:29.676,documentOpen,1,Web - JsSearchRef,IRevealQuerySuggestRequest | Coveo JavaScript Search Framework - Reference Documentation,,tuG5CRrlaQaU0Hpj
d07d4915-73ed-4c02-b5e1-dc6dfdb14421,2017-04-17 16:56:51.139,documentOpen,6,Web Scraper - AnswersCloud,Multi-value facet with lookup field?,author_409,T3/PgEJdvbOudqg1
c53c494f-4897-4011-8925-bfccfa6e2b30,2017-04-17 16:58:48.951,documentOpen,3,ohclouden,Managing Coveo Machine Learning Recommendations in a Query Pipeline,author_289,pApAaSXlwF1quZhs
f08afa26-32f4-4be9-a29b-6eb6d9a66296,2017-04-17 17:00:26.27,documentOpen,1,Confluence - Developers,Supported Sitecore Versions,author_548,RIoRmwfHz4V9lriJ
9db8c6f7-d07c-4fab-873e-22c8cea7e2a7,2017-04-17 17:03:13.558,documentOpen,2,Answers,Coveo for Sitecore REST Endpoint 500 Error -,author_503,4CWqUYeJSCcpqepK
9db8c6f7-d07c-4fab-873e-22c8cea7e2a7,2017-04-17 17:03:28.95,documentOpen,1,Answers,REST Endpoint : The remote server returned an error: (503) Server Unavailable.,author_102,TY+mRc95TlLUo7h9
